probe,ke,target,meanhA,meanErrhA,stdhA,stdErrhA,meannhN,meanErrhN,stdhN,stdErrhN,meanINCL,meanErrINCL,stdINCL,stdErrINCL,meanGeant4,meanErrGeant4,stdGeant4,stdErrGeant4211,0.325,1000060120,4.46857,1.04571,1.02031,0.789967,4.17663,9.47474,3.38508,5.87784,4.85573,10.5056,4.39579,14.2107,2.04551,11.7531,4.54989,6.32018
-211,1.825,1000080160,6.42738,2.7081,2.41903,2.16161,10.6591,3.37891,2.93806,2.83121,2.00003,12.1852,8.18152,10.812,2,17.9707,5.16749,4.11767,,,,,,,,,,,,,,,,,,
-211,1.875,1000080160,6.50384,2.71218,2.43582,2.16643,11.772,13.4178,4.88306,8.64016,2,9.00786,7.68733,9.51748,2.00012,16.0479,6.10226,5.63596,,,,,,,,,,,,,,,,,,
-211,1.925,1000080160,6.47322,2.70635,2.4255,2.1614,10.5678,5.25775,4.01203,5.30655,2.00005,11.0694,7.52614,9.42849,2.00001,15.4002,5.70922,4.87945,,,,,,,,,,,,,,,,,,
-211,1.975,1000080160,6.61514,2.67535,2.43207,2.13401,10.962,6.14593,4.24222,6.17416,2,17.6301,6.59843,6.89097,2.00001,17.8642,5.59487,4.77668,,,,,,,,,,,,,,,,,,
-211,2.025,1000080160,6.64603,2.56883,2.36727,2.04002,10.5061,3.44942,3.06308,2.95659,2.09953,9.88761,9.84219,22.8389,2.00013,17.1257,4.81493,3.65291,,,,,,,,,,,,,,,,,,
-211,0.075,1000180400,2,2.74232,0.993184,0.693542,2.00014,10.5908,4.62887,3.22446,2.93675,17.5121,3.82441,6.11835,2.00043,11.3428,2.38183,1.66614,,,,,,,,,,,,,,,,,,
-211,0.125,1000180400,2.00008,11.816,2.05125,1.43316,2.00041,9.28345,5.05495,3.52482,3.01108,17.3367,4.34872,6.98052,2.00018,13.1598,2.76943,1.93077,,,,,,,,,,,,,,,,,,
-211,0.175,1000180400,2,15.1849,2.95627,2.06234,2.4838,14.7786,5.56848,9.65861,2.01636,9.14879,5.63617,4.78257,2.40771,12.4691,3.25757,5.55603,,,,,,,,,,,,,,,,,,
-211,0.225,1000180400,2.00087,9.09649,3.7795,2.73331,4.83112,11.1724,5.25433,7.48534,2.00043,17.9752,6.32781,4.41996,3.7658,10.5158,3.3182,4.78935,,,,,,,,,,,,,,,,,,
-211,0.275,1000180400,5.63277,3.15264,2.4686,2.46945,5.86568,10.1197,5.1707,6.82627,2.00589,13.8779,6.73803,5.05019,4.60016,9.8969,3.41232,4.50128,,,,,,,,,,,,,,,,,,
-211,0.325,1000180400,6.08827,2.65467,2.32025,2.112,6.73798,11.2,5.39035,6.69837,2.00571,15.632,7.30487,5.43495,4.64919,9.50848,3.77969,5.0991,,,,,,,,,,,,,,,,,,
-211,0.375,1000180400,6.33611,2.7095,2.40318,2.15596,8.4054,6.4747,5.0039,5.31576,2.00278,15.9519,7.94428,5.61035,4.60173,9.4367,4.20572,5.84785,,,,,,,,,,,,,,,,,,
-211,0.425,1000180400,6.53107,2.89897,2.55173,2.31197,9.11117,6.40761,5.19093,5.33781,2.01456,14.76,8.25322,7.97303,4.39335,11.5662,4.68468,6.76929,,,,,,,,,,,,,,,,,,
-211,0.475,1000180400,6.79678,2.99909,2.6641,2.39384,9.63085,6.6354,5.47163,5.58553,2.00484,10.3729,9.15128,6.58949,4.75052,11.1414,5.1003,7.29575,,,,,,,,,,,,,,,,,,
-211,0.525,1000180400,6.92133,3.20606,2.81091,2.56455,10.3259,6.80971,5.7886,5.80513,2.37924,16.3614,9.79961,15.7062,5.15014,10.3873,5.42167,7.64254,,,,,,,,,,,,,,,,,,
-211,0.575,1000180400,6.97863,3.41361,2.94519,2.73206,10.9771,6.26401,5.59249,5.33103,3.67951,10.7764,10.3465,17.5553,6.07179,9.77998,5.70599,7.62583,,,,,,,,,,,,,,,,,,
-211,0.625,1000180400,7.15123,3.7253,3.15859,2.98548,11.9591,6.13592,5.74078,5.24415,5.18962,13.8249,10.1623,16.3509,7.27409,11.5743,5.64937,6.90855,,,,,,,,,,,,,,,,,,
-211,0.675,1000180400,7.34535,3.72175,3.2003,2.9887,12.2283,6.12486,5.79211,5.24156,7.08125,14.5228,10.0746,15.2853,8.34526,12.1099,5.7348,6.53675,,,,,,,,,,,,,,,,,,
-211,0.725,1000180400,7.73301,3.67569,3.2566,2.95674,12.4387,6.09817,5.81357,5.22602,7.98986,12.4577,10.2409,15.2539,9.29847,6.8407,5.49408,5.73815,,,,,,,,,,,,,,,,,,
-211,0.775,1000180400,7.85545,3.94715,3.44214,3.1847,12.3593,6.99857,6.48407,6.20416,8.54605,10.9522,10.1791,15.0163,9.8837,6.496,5.44871,5.47393,,,,,,,,,,,,,,,,,,
-211,0.825,1000180400,7.93419,4.15134,3.57665,3.35627,12.414,6.27029,5.93937,5.40685,10.9451,12.9386,9.58384,12.4426,10.6789,6.30957,5.55142,5.35222,,,,,,,,,,,,,,,,,,
-211,0.875,1000180400,8.19421,4.12004,3.61593,3.33524,12.6223,6.80031,6.39898,6.00215,11.1741,13.0937,9.70097,12.6276,11.6095,5.73897,5.37389,4.83887,,,,,,,,,,,,,,,,,,
-211,0.925,1000180400,8.24266,4.49948,3.84825,3.65165,13.1128,6.22451,6.06031,5.38898,12.2463,13.9407,9.95864,12.8568,11.5666,5.78584,5.39858,4.88443,,,,,,,,,,,,,,,,,,
-211,0.975,1000180400,8.56971,4.4489,3.89369,3.61895,13.6946,6.36548,6.30909,5.58417,12.0687,13.7456,10.0332,13.096,12.0951,5.60927,5.37231,4.7144,,,,,,,,,,,,,,,,,,
-211,1.025,1000180400,8.41743,4.79498,4.06415,3.90061,14.3854,6.30359,6.41509,5.5691,12.7434,13.9843,10.6063,14.3967,12.1488,5.90725,5.61115,5.01601,,,,,,,,,,,,,,,,,,
-211,1.075,1000180400,8.52614,5.2443,4.33909,4.28177,14.5868,6.55221,6.70481,5.91914,12.8469,13.4458,11.2846,16.3264,12.4271,6.30634,5.97303,5.44569,,,,,,,,,,,,,,,,,,
-211,1.125,1000180400,8.75009,4.81371,4.15013,3.93229,14.8627,13.3582,7.13989,6.48575,13.2645,13.8614,11.3493,16.4314,12.1505,6.74957,6.24374,5.89705,,,,,,,,,,,,,,,,,,
-211,1.175,1000180400,9.33821,4.87139,4.32255,3.99734,15.6156,13.5962,7.30874,6.57062,14.5043,15.2391,10.2388,12.9192,12.5485,6.75635,6.3528,5.93665,,,,,,,,,,,,,,,,,,
-211,1.225,1000180400,9.39871,5.19485,4.53646,4.2808,15.3296,6.13374,6.47905,5.45116,15.0572,15.4326,11.2437,15.7115,12.4897,7.02952,6.54739,6.24585,,,,,,,,,,,,,,,,,,
-211,1.275,1000180400,9.34707,5.4765,4.69234,4.52719,15.4037,6.34683,6.72874,5.7738,15.1136,15.4979,11.165,15.4193,12.6747,7.3341,6.85603,6.6371,,,,,,,,,,,,,,,,,,
-211,1.325,1000180400,9.65819,5.52254,4.79663,4.58247,15.9556,13.3191,6.90922,5.91832,13.637,13.2889,12.1537,18.9624,12.8822,7.17132,6.7805,6.4648,,,,,,,,,,,,,,,,,,
-211,1.375,1000180400,9.55597,5.51425,4.76057,4.57061,15.6737,6.27868,6.73716,5.73389,16.4069,16.1602,11.413,16.044,12.9985,13.4398,7.37195,7.35237,,,,,,,,,,,,,,,,,,
-211,1.425,1000180400,9.9608,5.36198,4.76899,4.44612,16.312,14.0146,7.61679,6.90745,14.7977,14.1602,12.504,19.97,13.3681,13.3673,7.25301,7.0654,,,,,,,,,,,,,,,,,,
-211,1.475,1000180400,10.2606,5.49139,4.91433,4.57562,16.7064,5.52267,6.14924,4.82581,15.7188,15.7186,11.5791,16.6612,13.6657,13.4161,7.31221,7.0455,,,,,,,,,,,,,,,,,,
-211,1.525,1000180400,10.2366,5.82235,5.12139,4.87639,16.2427,5.72133,6.25791,5.01862,17.0115,15.9886,12.2945,18.9359,12.4626,14.0778,8.54315,9.64673,,,,,,,,,,,,,,,,,,
-211,1.575,1000180400,10.4755,5.92726,5.25296,4.98007,17.112,13.6217,6.85635,5.66089,13.3069,11.6294,12.8031,21.281,13.193,13.8647,7.94973,8.24971,,,,,,,,,,,,,,,,,,
-211,1.625,1000180400,10.6099,6.2223,5.47906,5.26557,17.5787,13.8058,6.81201,5.52875,14.9989,9.1635,15.3097,55.6583,12.7913,13.8988,8.06285,8.62254,,,,,,,,,,,,,,,,,,
-211,1.675,1000180400,10.9843,6.74825,5.93332,5.80093,18.1116,13.9263,6.52486,5.11215,15.393,10.6566,14.7339,28.2994,13.3299,14.3018,8.63142,9.47396,,,,,,,,,,,,,,,,,,
-211,1.725,1000180400,10.7925,6.81947,5.91956,5.86054,17.9567,14.4276,7.18136,5.99581,18.1161,16.4273,11.9339,17.5266,12.1368,14.0663,9.03297,10.7616,,,,,,,,,,,,,,,,,,
-211,1.775,1000180400,11.2329,6.38595,5.73692,5.46391,18.9367,15.5997,6.97693,5.61738,14.7096,10.4285,15.771,55.8043,12.2307,14.0308,8.61769,9.86396,,,,,,,,,,,,,,,,,,
-211,1.825,1000180400,11.2258,6.34782,5.715,5.42301,18.128,14.2271,6.82358,5.48216,16.1514,9.32187,16.032,56.2157,11.3733,13.5114,9.35617,11.7542,,,,,,,,,,,,,,,,,,
-211,1.875,1000180400,11.2581,6.95062,6.14777,6.03295,17.8886,14.5071,7.32074,6.21003,11.124,13.465,18.9688,52.0303,12.2084,13.9327,9.91056,12.737,,,,,,,,,,,,,,,,,,
-211,1.925,1000180400,11.7096,6.43909,5.90253,5.54216,18.2185,14.5802,7.08597,5.8313,17.6832,12.8839,14.1514,25.9535,12.1456,14.0523,9.40002,11.5492,,,,,,,,,,,,,,,,,,
-211,1.975,1000180400,12.0779,6.86798,6.31397,6.01987,18.7366,15.122,6.91632,5.55038,13.3199,10.7624,17.7152,54.6444,10.6416,11.1597,10.5901,15.0602,,,,,,,,,,,,,,,,,,
-211,2.025,1000180400,12.1623,6.84033,6.31585,5.99604,17.5308,13.5418,6.54957,5.20092,16.8551,12.056,14.6374,27.8444,11.0949,11.5789,10.7968,15.473,,,,,,,,,,,,,,,,,,
-211,0.075,1000260560,2,2.79259,1.37177,0.958806,2,12.7864,5.27419,3.67249,3.55409,12.5787,3.54797,5.30264,2.00001,13.2439,2.4168,1.68391,,,,,,,,,,,,,,,,,,
-211,0.125,1000260560,2,12.2756,2.664,1.86189,2.00416,17.8251,5.69347,4.09377,3.86734,12.302,4.01575,5.94566,2.00002,16.8941,2.73912,1.90737,,,,,,,,,,,,,,,,,,
