category,quantity,particle,target,hA2018_slope,hA2018_intercept,hA2018_floor,hA2018_exp,hN2018_slope,hN2018_intercept,hN2018_floor,hN2018_exp,INCL_slope,INCL_intercept,INCL_floor,INCL_exp,Geant4_slope,Geant4_intercept,Geant4_floor,Geant4_exp
Difference,Mean,2112,1000060120,-0.04796594396350684,-0.402952556013544,,,-0.0029699523178430276,-0.4804786685898472,,,-0.11780962575449705,-0.1987060443784351,,,0.06568843152099113,-0.4543249851001778,,
Sum,Gamma,2112,1000180400,-1.7792750197140013,0.6912613753200751,1.2110763732413755e-08,0.1325728915107499,-2.952234451538447,0.2125224752054378,0.15439671512966224,1.8363046269448478,-4.342244896618544,2.2725503761898955,0.11005099959431636,0.5945632575889328,-3.715650492332231,1.930084351100695,0.11792652734563185,0.7112151312425723
Difference,Std,2112,1000180400,-0.01817708224735748,2.3256555297211707,,,0.17238238616865176,2.0530343732650715,,,0.20747356590502686,1.4019273256014104,,,0.19080496101254185,1.4638715885462183,,
Difference,Mean,2112,1000180400,-0.09828178309135911,-1.389852224879233,,,-0.16245065690282456,-0.9717432688002735,,,-0.4145383697648604,-0.8073566332815882,,,-0.34809414949336515,-1.1736670286645061,,
Sum,Gamma,2112,1000080160,-34.83179076825435,0.006406937687784935,0.1860792744283722,1.344243624916732,-5.009340314903522,8.396518351497807,0.2507059272992478,0.18791345724129616,-5.070405539792415,0.8978560387589372,0.21042140207708973,1.0724272887702397,-4.791681854067555,0.7558154063469177,0.27459347843437604,1.7980708767517968
Difference,Std,2112,1000080160,-0.0022442093582613065,2.143080019023712,,,-0.007744540098336472,1.6846293983256282,,,-0.03610254524300072,1.0950878841698275,,,-0.009576054445080945,1.1827183835103274,,
Difference,Mean,2112,1000080160,-0.036337162215383634,-0.40397533261470625,,,0.014596895571078572,-0.5019200396228494,,,-0.14051852134643128,-0.06956937662309848,,,0.0391409875783269,-0.31866326036105685,,
Sum,Gamma,2112,1000260560,-0.723598223173766,0.17806163629737767,0.005587635432471488,0.6918387455045835,-2.7469177075803772,0.22535316081476356,0.11472222856281973,1.6610974980169055,-4.513074081928516,3.399264561913774,0.08472897734708079,0.490118700681577,-3.92310434751905,3.723072650304678,0.06373622255009818,0.45054062326787536
Difference,Std,2112,1000260560,-0.0013751364150136336,2.48090941177837,,,0.27395203312648575,2.174033025999365,,,0.2909966039064503,1.372623084181968,,,0.22841328012999196,1.5096282122999933,,
Difference,Mean,2112,1000260560,-0.0859542440940065,-1.0982805814581154,,,-0.1745430814996444,-0.8599324500694451,,,-0.44259522986388566,-0.03920020302067895,,,-0.3571602020339204,-0.12463707897903087,,
